olympia_gateway_id,olympia_address,babylon_address,first_seen_at_olympia_state_version,supply_fixed,initial_babylon_name,initial_babylon_symbol,initial_babylon_description,initial_babylon_supply
114,jacob_rr1qdvy8azz333u2wpq739sz7epw2v9q8j4k960zqajpwus3w9uas,"",57604648,t,Jacob,jacob,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
115,farrah_rr1qv9fwszcf5aadazurm4mn4hg0rz507ww2xqd7ggraz2q44rkz0,"",57604994,t,Farrah,farrah,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
116,emre_rr1q0skr0a3w3wl3y7wkmu2ppdgfv2nqda0qqycsaltdxtsyjpewy,"",57605548,t,Emre,emre,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
117,ben_rr1qw068uymhgy4zv63nxe6mx6l3rmrwc65x8h3janpw7ws3v8qqq,"",57605915,t,Ben,ben,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
118,artem_rr1q05hrh5wk7kuxuxvps27xwg7rpn97yskzev5has7clesmyydch,"",57606244,t,Artem,artem,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
119,alex_rr1q0xe9ln8a4aj6qvdc4jyvc7ddzafadsutej4z5jkr3xs90gkzy,"",57606888,t,Alex,alex,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
120,stacey_rr1qd06fxgn8h8ppse58hmdptlukkh4sddzq08sv3ut0w9qta522p,"",57607185,t,Stacey,stacey,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
121,matthew_rr1qd5rx5cy3na3psrazhmyeyrqzyf9th05pyk06m22puvq6mj3u9,"",57607550,t,Matthew,matthew,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
122,sophie_rr1qdvy0ke5dw3vpn37kc56h8jlu530xdzjx32wanrnh8dsfsss2e,"",57608025,t,Sophie,sophie,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
123,james_rr1qwh3fwt8f9y056gmfvnzat5a3neze0yx5ned0kwd2ueqh3sg7x,"",57608496,t,James,james,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
124,andrew_rr1qwkqgmltdwry0dfln0wq5kj3ldssygf4858y8mz98n8qh8lajt,"",57609260,t,Andrew,andrew,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
125,adam_rr1qvu6er6tx97f60egugfetlkp484d6lvu9herwaw9h5rqgz6q5l,"",57609676,t,Adam,adam,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
126,russell_rr1qvjzzp2ezfcj9zuf7kyugypz6x9jyszsauq5mruxadaq6ldvdf,"",57610043,t,Russell,russell,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
127,piers_rr1qwer6t6vl44s5jhudg9guthk5g2s92ffzlezu09gu06sgwgw3p,"",57610362,t,Piers,piers,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
128,dan_rr1q052hek008vx7cu3huut0rm8drhc2ve8sylntz0a8txqwd4z0a,"",57610692,t,Dan,dan,One of 25 NFTs to celebrate the Radix Team and the Mainnet Launch.,100000000000000000000
129,rcrav_rr1qwt9v02ygq784leru9g0nmstl75ewhlurelffj7w5p2qzk50tj,"",58096759,t,RCRadixverse,rcrav,Radix Collection RCRadixverse token. Rewards Radixverse members who have answered the quests correctly.,99999999999000000000000000000
130,rcsco_rr1qdaxcl3sz4ff8rz5xf0gm92w3unr3z28e33eguzf8dlq0qrmsu,"",58100965,t,RCScorpion,rcsco,Radix Collection RCScorpion token. Rewards RCScorpion holders.,99999999999000000000000000000
131,rcbet_rr1qdwl96mp4qd7jxg0dhg47txk575dty5y6kw9rczf6cgqnps8yw,"",58102459,t,RCBetanet,rcbet,Radix Collection RCBetanet token. Rewards investors who participates to Betanet.,99999999999000000000000000000
132,rcoci_rr1qws8a0gn6sz7njcw7j6vu62mzvks4xyrjh8pgqq5yacqj6lhcx,"",58340965,t,RCOciswap,rcoci,Radix Collection RCOciswap token. Rewards Ociswap holders.,99999999999000000000000000000
133,rcsam_rr1q06650dgtyvq7vkhvm2y5w2zpdnnd53rg26rvusk32wsq4mjps,"",58341555,t,RCSamusky,rcsam,Radix Collection RCSamusky token. Rewards Samusky holders.,99999999999000000000000000000
134,rcras_rr1qwymt686zlvqdyp986ay602q0ngcp2tvnw8cefj3yjxqa3aq37,"",58493845,t,RCRadicalStaking,rcras,Radix Collection RCRadicalStaking token. Rewards Radical Staking stakers.,99999999999000000000000000000
135,eli_rr1qd5ljwt3xa4phkajll3rr7l5gm2lzgrqfz9p9ucvwxtqly2xuq,"",58498072,t,EliCoin,eli,This is a rare token only available to true Radix supporters and lovers. Currently a memecoin.,69420000000000000000000000
136,jit_rr1qdt2r0qll5f0p22m5h0ka6s4k45uk57t58mjmd0kyvlq4sfy8s,"",58733953,t,JitCoin,jit,"Get in Just in Time, before it moons! ",69420420000000000000000000
137,shkl_rr1qdm3llhz6lx24zywqdersjzgtd2vs9wl7kqzfsezkdyqvpseeq,"",58897835,t,Shekel,shkl,"The Mesopotamian shekel – the first known form of currency – emerged nearly 5,000 years ago. The earliest known mints date to 650 and 600 B.C. in Asia Minor, where the elites of Lydia and Ionia used s",10000000000000000000000000
138,rchoa_rr1qwx9h89erlvwr2dh9qlkwx2dyytjnef9wceujegnvgtqe5tm4f,"",59525061,t,RCHOARD,rchoa,Radix Collection RCHOARD token. Rewards HOARD holders.,99999999999000000000000000000
