id,engine_address,rri,from_state_version,babylon_resource_address
40,\x033f92fea5a07b44ad3ee6a442fd36a02271edb808bd3fc6ba8b92,clown_rr1qvle9l495pa5ftf7u6jy9lfk5q38rmdcpz7nl3463wfq9l75cp,35881204,resource_rdx1thvtxfnh6hdx67clezgruqtg9f9txmky2x24gctz9ryzmpeuwmr82g
41,\x03706d9dec0ecef36762176f41be3375298ced471f7832d40f8f81,elite_rr1qdcxm80vpm80xemzzah5r03nw55cem28raur94q037qs8d7fct,35906454,resource_rdx1th337xyw9zqxjfaupshp4wrtxl0ef8jswauzcjk8ep0lnq766we56c
42,\x034f6b275b2a530a9445c3ae4710d4e1187a1b51a53472d634fdd3,beer_rr1qd8kkf6m9ffs49z9cwhywyx5uyv85x6355689435lhfs34hhm0,38557848,resource_rdx1tk05cj7qp9h3ne7wn98mzvzah7264cdcgqw0wwyzg750uee6t5vmy2
43,\x03c4a2436385d92ecba0813c38daf14aee1dc5cb0f816739bae377,rewards_rr1q0z2ysmrshvjajaqsy7r3kh3fthpm3wtp7qkwwd6udmsesq8dw,38920436,resource_rdx1t460fcr7jzhg6nyeywvs27cvsssljqt9nxtwr4emayl6rg7ra42x7e
44,\x033c82627ec331637957ddaf373ef082793f3a4f7c72addbeb9648,reward_rr1qv7gycn7cvckx72hmkhnw0hssfun7wj003e2mkltjeyqfk3ypj,38937266,resource_rdx1t5c4jnchspa5kkmaur85pp3066le6hw5vd2u5f3u7gnqalwlvm2ljs
45,\x039523b3186780c83a5c9f1bdcebdd91f2c52edc79c6454bbc4e5b,xse_rr1qw2j8vccv7qvswjunudae67aj8ev2tku08ry2jaufedsnnvxzu,39532289,resource_rdx1tkkzy2zg4na22kskk00q50v0kghw89akeh84u60xczxsr0ynes80d5
46,\x03ccf1625ac840e5e6129e915b4ff018c3a5c55b2239b2eb2a2005,ascr_rr1q0x0zcj6epqwtesjn6g4knlsrrp6t32mygum96e2yqzs7z8h6u,39834088,resource_rdx1t49768kl6jnd3e0tsmg29uzjlv7p6x7xy95qxcjs3z70fea8f8cpm9
47,\x0350809194d2a1fb8f9f522ffc14c50c397d07c5641700d677758c,key_rr1qdggpyv562slhrul2ghlc9x9psuh6p79vstsp4nhwkxq8vnh2w,40096745,resource_rdx1tkp69d0z42ufx3ruumcr7v72m0sd30ekakw828dq0weupecsp5qyye
48,\x034b9d6c0d2ba2819921a95cf02154671b7a01a86594700d9ec7a1,anon_rr1qd9e6mqd9w3grxfp49w0qg25vudh5qdgvk28qrv7c7ssnwdcfz,40379738,resource_rdx1t53qu46x2dmv7y4hagt72xg3wm006u4s0rxu5thz8sstle322aws4r
49,\x035e3fe45d6e3517d41c5027dfc17a4d8dea2b573de53f46dcaa89,smk_rr1qd0rlezadc6304qu2qnalst6fkx7526h8hjn73ku42ysljew6r,40638754,resource_rdx1t5h0252zhla4qkxhruqglf46vufx067py8e98v3rthd0dnqfxn6qta
50,\x03f4d49a7cf50d456c39442097901a525c348fc24da6948accf3ea,nine_rr1q06dfxnu75x52mpegssf0yq62fwrfr7zfknffzkv704qyxljy4,41527330,resource_rdx1t4kn2fy20zpyq8f4k43weu6834p5ynungs99n3xlmlv7r8mr2te44q
51,\x038336c1803d0cca29c1bf7e6a65f4f6f297f9d00a15bd6531a974,nft1_rr1qwpndsvq85xv52wphalx5e057mef07wspg2m6ef3496qp9glt4,42622053,resource_rdx1tkem8f3rr695dns09y0md2urxg09vl5l9lwzppn6x77an8txe34npw
52,\x034cec114c63a2dcd1d449f0871eefc97f8f2d96b4062f137e4d18,nft2_rr1qdxwcy2vvw3de5w5f8cgw8h0e9lc7tvkksrz7ym7f5vqvzpujh,42623068,resource_rdx1t5dqdft2fann5jamc0matmdxp4ect5apyc923jfuskhkdjfvxwed89
53,\x032bf8f38482502a33c04a36cad71dd35690c069058b2f187f52ca,rsgr_rr1qv4l3uuysfgz5v7qfgmv44ca6dtfpsrfqk9j7xrl2t9qu9h62g,43401880,resource_rdx1t4umjzduxzvpdvlm07wzw48lpvma5h04rmjnnrnmfmepsva3s4kmnh
54,\x036634c54df9f457ef6e8c62007ff08a59a2abf3b73dc2d3b2adc2,asdfg_rr1qdnrf32dl8690mmw333qqlls3fv692lnku7u95aj4hpq0tmdjg,44159906,resource_rdx1tkggefcqtj3xx0gumvack3e72klkt4vfemugseamrldez629wrs42z
55,\x030c01fc961567124b56ba68e778badead8cf3b1640763111d6791,gsadh_rr1qvxqrlykz4n3yj6khf5ww796m6kceua3vsrkxygav7gs4da20q,44169219,resource_rdx1t436nrk0ral0uvryumxv05gaplfvnyn90sykuyuas3rnglh58vpy5z
56,\x03f0ad7beb1c7b4bc0fcd8a81de739040c39b730475355cadc5970,nft3_rr1q0c267ltr3a5hs8umz5pmeeeqsxrndesgaf4tjkut9cqeee8j2,44493431,resource_rdx1th2yy2sl7pdvgctrqw8e67aacn6sushn2n2vtshu6tk9pv6j7adv97
57,\x03910887ff8a05c66dd1345410b30b981f91b2f7f828cc941686fe,nft4_rr1qwgs3pll3gzuvmw3x32ppvctnq0ervhhlq5ve9qksmlqgkkswr,44493876,resource_rdx1t4d4dzzyzxdexfvqutvdwzr28cq0jr8hrnakfvrlfrd2nkx4eyql5e
58,\x03d353ea9d6870abfdb6f47e60d60325197b6529df0d5b54b95558,nft5_rr1q0f4865adpc2hldk73lxp4sry5vhkeffmux4k49e24vqe2jpz7,44494263,resource_rdx1t54a3q0uj5294ev2d58gk0mdfgg7503lyeagn4a6gle22er0sy2sgs
59,\x03a0fac2e018a386cbf268696c090cf39b19188bea2c5a03f6f670,oci_rr1qws04shqrz3cdjljdp5kczgv7wd3jxytagk95qlk7ecquzq8e7,44633370,resource_rdx1tkm7e4gw7v08qcy4f7f46acr06mycqhz0ppr7dyshjxvcxmegj7du7
60,\x03edb02a421cd3610b9a58020b0a868a042bb619d2486246c36c95,konan_rr1q0kmq2jzrnfkzzu6tqpqkz5x3gzzhdse6fyxy3krdj2s9jn03y,45738865,resource_rdx1th3vk43pwpldnh9p2dvhka2a673e307a0rnyhnkjuwxjmu3y6rhjpj
61,\x037d8875b0cebbf12eddc0e5423a6836e880a689006a30dafd9c06,shib_rr1qd7csadse6alztkacrj5ywngxm5gpf5fqp4rpkhansrqs2ayyy,47016734,resource_rdx1t5dy7kw6pkzvxecj6txxtfq8wjg0y3nm329un8vdlxpjh63my7tcjd
62,\x03d9b579aac42374743d1b56511b42e7148cbf4b97b88263ab4e85,pihair_rr1q0vm27d2cs3hgapardt9zx6zuu2ge06tj7ugycatf6zs270xh4,49023150,resource_rdx1t5e73tu28m7pkz2erdevk8um6s3w28x2thmrluj7sy3pvga07svfce
63,\x038248faac38cbbcbbefbc74ea72168ab3c431a876d7ca860fe7b1,dgulden_rr1qwpy374v8r9mewl0h36w5usk32eugvdgwmtu4ps0u7cspru7py,49101445,resource_rdx1t43srxdw79mlz6xa74sav09ke92jfyf8mnm3q9z64kdjh3tnhye9c0
